Дата;Запуск;Космодром;Стартовый комплекс;Ракета-носитель;Результат
05.03.69 20:25:00;"Запуск космического аппарата Целина-ОМ (""Космос-269"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
05.03.69 16:04:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-268"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
07.02.69 16:59:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-265"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
26.12.68 12:45:00;"Запуск космического аппарата ДС-У2-ГФ (""Космос-262"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
20.12.68 02:55:00;"Запуск космического аппарата ДС-У2-ГК (""Космос-261"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
14.12.68 08:09:00;"Запуск космического аппарата ДС-У2-И (""Космос-259"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
03.12.68 17:52:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-257"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
31.10.68 01:00:00;"Запуск космического аппарата Целина-ОМ (""Космос-250"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
03.10.68 15:58:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-245"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
20.09.68 17:39:00;"Запуск космического аппарата ДС-П1-И (""Космос-242"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
18.07.68 22:59:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-233"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
05.07.68 09:59:00;"Запуск космического аппарата ДС-У3-С (""Космос-230"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
12.06.68 16:14:00;"Запуск космического аппарата ДС-У1-Я (""Космос-225"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
